id,authors,publication_date,title,venue,doi,url,status,reading_level,relevance,accessed
L14,Ning Wu; Binwei Yang; Dapeng Zhang,2026-05-15,Advancing AI-Assisted Policy-Text Analysis: Revealing the Drive–Adaptation Model of Central–Local Governance,Journal of Planning Education and Research,10.1177/0739456X261442161,https://journals.sagepub.com/doi/10.1177/0739456X261442161,published article or scholarly chapter,出版社摘要与书目,主动学习与微调的政策测量已有应用，应作为工具而非独立创新。,2026-09-20
L15,Le Bao,2026-07-30,Beyond the Conventional Pipeline: Large Language Models for Social Science Measurement,Chinese Political Science Review,10.1007/s41111-026-00351-4,https://link.springer.com/article/10.1007/s41111-026-00351-4,published article or scholarly chapter,出版社摘要和正文选段,按测量逻辑选择方法，区分模型潜在概念与研究者操作化定义。,2026-09-20
L16,Alexander Thomas; Hubert P. H. Shum; Darren Nellis; Manli Zhu; Phatpicha Yochum; William Bartle; Daniel Wrightson,2026-08-21，v1,Evaluating Large Language Model Performance on International Maritime Dangerous Goods Code Compliance,arXiv:2608.21036,,https://arxiv.org/abs/2608.21036,arXiv version consulted; separate peer-reviewed publication status not established,作者预印本摘要，未核验同行评审,2026-08新近DGEval；合规能力随子任务变化，不能套用总体得分。,2026-09-20
L17,Philip Leifeld,在线 2016-08-03；手册章节 2017,Discourse Network Analysis,Oxford Handbooks Online,10.1093/oxfordhb/9780190228217.013.25,https://eprints.gla.ac.uk/121525/,published article or scholarly chapter,作者机构库摘要与书目,主体—概念—立场的动态网络已有理论与方法基础。,2026-09-20
L18,Xiwen Bai; Xiunian Zhang; Kevin X. Li; Yaoming Zhou; Kum Fai Yuen,2021-03,Research topics and trends in the maritime transport: A structural topic model,Transport Policy,10.1016/j.tranpol.2020.12.013,https://www.sciencedirect.com/science/article/pii/S0967070X20309501,published article or scholarly chapter,出版社摘要和亮点,主题建模航运研究已有先例，研究文献语料与本项目政策文件有区别。,2026-09-20
L19,Darren Edge; Ha Trinh; Newman Cheng; Joshua Bradley; Alex Chao; Apurva Mody; Steven Truitt; Dasha Metropolitansky; Robert Osazuwa Ness; Jonathan Larson,初稿 2024-04-24；v2 2025-02-19,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,arXiv:2404.16130,,https://arxiv.org/abs/2404.16130,arXiv version consulted; separate peer-reviewed publication status not established,作者预印本摘要,GraphRAG适合跨文档综合；不自动提供正确的主张继承或因果边。,2026-09-20
L20,Farhad Moghimifar; Yuan-Fang Li; Robert Thomson; Gholamreza Haffari,2024-02-18，v1,Modelling Political Coalition Negotiations Using LLM-based Agents,arXiv:2402.11712,,https://arxiv.org/abs/2402.11712,arXiv version consulted; separate peer-reviewed publication status not established,作者预印本摘要,谈判代理模拟已有先例，不能以生成的谈判替代真实证据。,2026-09-20
L21,Jennifer Baumann,在线 2025-10-15,Running a tight ship? From EU coordination to action on emissions in the IMO,European Politics and Society,10.1080/23745118.2025.2569540,https://www.tandfonline.com/doi/full/10.1080/23745118.2025.2569540,published article or scholarly chapter,出版社索引正文选段,协调过程不等同于外部行动，提案署名只覆盖部分协调活动。,2026-09-20
L22,Kevin Parthenay; Carina C. de Oliveira; Ana Flávia Barros-Platiau,2026-01,The Core Latin American Members (CLAM) in BBNJ negotiations: A case of rule-making influence from the South on the ocean regime,Marine Policy,10.1016/j.marpol.2025.106920,https://www.sciencedirect.com/science/article/pii/S0308597X25003367,published article or scholarly chapter,出版社摘要和书目,Marine Policy近期海洋谈判联盟与规则制定研究范例。,2026-09-20
L23,Meng Wei; Ying Cui; Jiaguo Liu,2026-05,Unveiling the influencing factors of maritime accidents through data-driven approaches: leveraging large language model tools,Safety Science,10.1016/j.ssci.2026.107116,https://www.sciencedirect.com/science/article/pii/S092575352600007X,published article or scholarly chapter,出版社索引摘要和亮点,LLM抽取海事文档变量已普及；本研究应贡献有效测量和制度发现。,2026-09-20
